# Time(ps) VACF(nm²/ps²)
0.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000111e-01 9.699300516699440600e-01
4.000000000000000222e-01 8.862768005280975414e-01
6.000000000000000888e-01 7.569601206511636926e-01
8.000000000000000444e-01 5.937288142384068435e-01
1.000000000000000000e+00 4.105790752960359336e-01
1.200000000000000178e+00 2.220531179845640912e-01
1.400000000000000133e+00 4.174083338249477693e-02
1.600000000000000089e+00 -1.188622685618529878e-01
1.800000000000000044e+00 -2.510752194960608752e-01
2.000000000000000000e+00 -3.493233750438826113e-01
2.200000000000000178e+00 -4.111275650357547606e-01
2.400000000000000355e+00 -4.368523900820344696e-01
2.600000000000000089e+00 -4.292860293860631393e-01
2.800000000000000266e+00 -3.931446657576750381e-01
3.000000000000000000e+00 -3.345079349333667795e-01
3.200000000000000178e+00 -2.602368114813132793e-01
3.400000000000000355e+00 -1.773984026376139445e-01
3.600000000000000089e+00 -9.273292369761663989e-02
3.800000000000000266e+00 -1.218659989656063758e-02
4.000000000000000000e+00 5.944315408126794181e-02
4.200000000000000178e+00 1.187313028206326698e-01
4.400000000000000355e+00 1.636907356490837351e-01
4.600000000000000533e+00 1.937121039527597011e-01
4.800000000000000711e+00 2.093747672890666767e-01
5.000000000000000000e+00 2.121987813856674454e-01
5.200000000000000178e+00 2.043585384862263432e-01
5.400000000000000355e+00 1.884009237561959094e-01
5.600000000000000533e+00 1.669837982762500950e-01
5.800000000000000711e+00 1.426515171820282590e-01
6.000000000000000000e+00 1.176429582552334097e-01
6.200000000000000178e+00 9.374442616298821196e-02
6.400000000000000355e+00 7.219056250178743084e-02
6.600000000000000533e+00 5.362148208421127493e-02
6.800000000000000711e+00 3.811211869428494242e-02
7.000000000000000000e+00 2.526524038150017304e-02
7.200000000000000178e+00 1.434917310163487218e-02
7.400000000000000355e+00 4.475976231431998999e-03
7.600000000000000533e+00 -5.212435637077740894e-03
7.800000000000000711e+00 -1.536469080203430211e-02
8.000000000000000000e+00 -2.629033851902520119e-02
8.200000000000001066e+00 -3.787202922690439955e-02
8.400000000000000355e+00 -4.956208810596545583e-02
8.599999999999999645e+00 -6.045993247911697621e-02
8.800000000000000711e+00 -6.944738415295706457e-02
9.000000000000000000e+00 -7.538412933194640897e-02
9.200000000000001066e+00 -7.730814360815339847e-02
9.400000000000000355e+00 -7.462365245258499591e-02
9.600000000000001421e+00 -6.723316768574770508e-02
9.800000000000000711e+00 -5.558671512258055170e-02
1.000000000000000000e+01 -4.065001059676650458e-02
1.020000000000000107e+01 -2.378129802307442364e-02
1.040000000000000036e+01 -6.558337561275076784e-03
1.060000000000000142e+01 9.456192585593067509e-03
1.080000000000000071e+01 2.291998909375817309e-02
1.100000000000000000e+01 3.290650463929753466e-02
1.120000000000000107e+01 3.902095634919702793e-02
1.140000000000000036e+01 4.142419108470685174e-02
1.160000000000000142e+01 4.076797647490203180e-02
1.180000000000000071e+01 3.804219316040202692e-02
1.200000000000000000e+01 3.437771697570218138e-02
1.220000000000000107e+01 3.083658406185527459e-02
1.240000000000000036e+01 2.823197881351307420e-02
1.260000000000000142e+01 2.699498636167137200e-02
1.280000000000000071e+01 2.712553978574636787e-02
1.300000000000000000e+01 2.822914008552295309e-02
1.320000000000000107e+01 2.961524455043667084e-02
1.340000000000000036e+01 3.045733431983196557e-02
1.360000000000000142e+01 2.996784478900898357e-02
1.380000000000000071e+01 2.757357093554250668e-02
1.400000000000000000e+01 2.304018277971560738e-02
1.420000000000000107e+01 1.652286052044077413e-02
1.440000000000000036e+01 8.544141663294445299e-03
1.460000000000000142e+01 -1.022188981017281345e-04
1.480000000000000071e+01 -8.495059732535954755e-03
1.500000000000000000e+01 -1.574849654057711851e-02
1.520000000000000107e+01 -2.115248479322558509e-02
1.540000000000000036e+01 -2.429146601429085089e-02
1.560000000000000142e+01 -2.509480876566735907e-02
1.580000000000000071e+01 -2.382464313281865489e-02
1.600000000000000000e+01 -2.101081823478317609e-02
1.619999999999999929e+01 -1.733886637325459182e-02
1.640000000000000213e+01 -1.351473278671334009e-02
1.660000000000000142e+01 -1.014252577556380187e-02
1.680000000000000071e+01 -7.622253954859708504e-03
1.700000000000000000e+01 -6.105694288018179670e-03
1.719999999999999929e+01 -5.510294298421524253e-03
